id,name,description
123,Terazosin Hydrochloride,Periprosthetic fracture around internal prosthetic joint
124,Atenolol,"Sprain of right acromioclavicular joint, subsequent encounter"
125,Imipramine Hydrochloride,"Pauciarticular juvenile rheumatoid arthritis, unspecified site"
126,"Pollens - Grasses, Southern Grass Mix","Displaced fracture of anterior process of left calcaneus, subsequent encounter for fracture with delayed healing"
127,Potassium Nitrate and Sodium Fluoride,"Displaced oblique fracture of shaft of left ulna, subsequent encounter for closed fracture with routine healing"
128,Aspen,"Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
129,"AVOBENZONE, HOMOSALTE, OCTISALATE, OCTOCRYLENE","Unspecified open wound, right hip, initial encounter"
130,Red Cedar,"Disorder of brain, unspecified"
131,Ampicillin sodium and Sulbactam sodium,"Maternal care for other rhesus isoimmunization, third trimester, fetus 5"
132,Quinapril,"Laceration of flexor muscle, fascia and tendon of right little finger at wrist and hand level"
133,solifenacin succinate,"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
134,Pyrithione Zinc,"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
135,Titanium Dioxide,"Nondisplaced segmental fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
136,Risperidone,"Car driver injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
137,Clotrimazole,Wear of articular bearing surface of internal prosthetic left knee joint
138,"Octinoxate, homosalate, octisalate, octocrylene","Other specified inflammatory spondylopathies, lumbosacral region"
139,"elvitegravir, cobicistat, emtricitabine, and tenofovir disoproxil fumarate","Contusion of right shoulder, subsequent encounter"
140,"Naproxen sodium, Pseudoephedrine HCl",Eczema herpeticum
141,Amlobenz,Other superficial bite of eyelid and periocular area
142,Prednisone,"Corrosion of third degree of multiple right fingers (nail), not including thumb, initial encounter"
143,"China officinalis, Ferrum Phosphoricum and Medicago Sativa","Poisoning by caffeine, undetermined, subsequent encounter"
144,"OCTINOXATE, OCTISALATE, OXYBENZONE, AVOBENZONE","Other fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion"
145,Glycopyrrolate,"Preterm labor third trimester with preterm delivery third trimester, fetus 3"
146,Nitrofurantoin (monohydrate/macrocrystals),"Nondisplaced oblique fracture of shaft of left fibula, initial encounter for closed fracture"
147,Octinoxate Octisalate,"Person on outside of special industrial vehicle injured in traffic accident, sequela"
148,Bacitracin zinc,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
149,diltiazem hydrochloride,"Tarsal tunnel syndrome, left lower limb"
150,Alcohol,Essential fatty acid [EFA] deficiency
151,Benzalkonium Chloride,"Fracture of symphysis of mandible, subsequent encounter for fracture with nonunion"
152,Ethambutol Hydrochloride,"Laceration with foreign body of left little finger without damage to nail, sequela"
153,Extra Strength Acetaminophen,"Unspecified fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
154,Benzocaine,"Other specified injury of quadriceps muscle, fascia and tendon"
155,Dimenhydrinate,Crushing injury of left shoulder and upper arm
156,Tramadol Hydrochloride,"Nondisplaced segmental fracture of shaft of unspecified femur, initial encounter for open fracture type I or II"
157,Metformin Hydrochloride ER,"Unspecified injury of unspecified blood vessel at ankle and foot level, unspecified leg, subsequent encounter"
158,"Acetaminophen, Chlorpheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl","Legal intervention involving baton, law enforcement official injured, subsequent encounter"
159,Albuterol Sulfate,"War operations involving destruction of aircraft due to enemy fire or explosives, civilian, sequela"
160,Hydrocodone Bitartrate and Acetaminophen,"Other ossification of muscle, forearm"
161,CAMPHOR,"Unspecified fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
162,TRICLOSAN,"External constriction, unspecified ankle, subsequent encounter"
163,Pyrithione Zinc,Passenger in heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
164,fenofibrate,"Laceration of unspecified blood vessel at ankle and foot level, left leg, initial encounter"
165,clopidogrel bisulfate,Other strabismus
166,Amikacin Sulfate,"Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm, initial encounter"
167,Spiny Pigweed,Unspecified open wound of left middle finger with damage to nail
168,cefotaxime sodium,Tortuous aortic arch
169,Sulfur,"Person injured in collision between railway train or railway vehicle and car (traffic), subsequent encounter"
170,Carvedilol,Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle
171,Clonidine Hydrochloride,"Nondisplaced fracture of distal phalanx of right lesser toe(s), initial encounter for open fracture"
172,OCTINOXATE and TITANIUM DIOXIDE,"Pathological fracture in neoplastic disease, unspecified shoulder, sequela"
173,Sodium Phosphate,"Nondisplaced fracture of second metatarsal bone, right foot, initial encounter for closed fracture"
174,Potassium Chloride,"Person on outside of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
175,Cefdinir,"Varus deformity, not elsewhere classified, left ankle"
176,"L-carnitine, L-glutamine, L-ornithine, L-tryptophan, L-tyrosine, Human chorionic gonadotropin,","Nondisplaced transverse fracture of right patella, subsequent encounter for closed fracture with malunion"
177,verapamil hydrochloride,Dysphasia following nontraumatic intracerebral hemorrhage
178,"brompheniramine maleate, dextromethorphan HBr, phenylephrine HCl",Lacrimal gland dislocation
179,Ropinirole Hydrochloride,"Laceration of ascending [right] colon, initial encounter"
180,zolpidem tartrate,"Poisoning by drugs affecting uric acid metabolism, accidental (unintentional), subsequent encounter"
181,ALCOHOL,Unspecified complication of kidney transplant
182,"OCTINOXATE, TITANIUM DIOXIDE, ZINC OXIDE","Other injury of ovary, bilateral, sequela"
183,Velvet Grass,Asymptomatic menopausal state
184,paroxetine hydrochloride,"Unspecified injury of right Achilles tendon, subsequent encounter"
185,DOCUSATE SODIUM,"Derangement of unspecified meniscus due to old tear or injury, right knee"
186,"GRAPHITE, THUJA OCCIDENTALIS LEAFY TWIG, and SILICON DIOXIDE",Burn of first degree of left forearm
187,Ropinirole,"Injury of visual cortex, left eye"
188,"Adrenalinum, Candida albicans, Thyroidinum, Torula cerevisiae, Triticum, Ustilago maidis, Antimon. crud, Arsenicum alb., Baptisia, Berber. aqui., Bryonia, Calc. phos., Cinchona, Helonias dioica, Hydrastis, Iodium, Iris versicolor, Kali carb., Lachesis, Lycopodium, Merc. viv., Nat.carb., Nat. phos, Nitricum ac., Phosphorus, Podoph. pelt, Pulsatilla, Sepia, Echinacea, Ginkgo, Juglans regia, Lappa, Thuja occ.","Unspecified physeal fracture of upper end of left fibula, subsequent encounter for fracture with routine healing"
189,Alcohol,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 5"
190,OCTINOXATE,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
191,"Guaifenesin, Phenylephrine HCl","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, assault, initial encounter"
192,felodipine,"Contusion of liver, sequela"
193,Penicillin V Potassium,"Burn of first degree of right hand, unspecified site, subsequent encounter"
194,"Dextromethorphan Hydrobromide, Guaifenesin, Pseudoephedrine Hydrochloride",West Nile virus infection
195,alcohol,"Traumatic rupture of volar plate of left middle finger at metacarpophalangeal and interphalangeal joint, sequela"
196,Glycopyrrolate,"Other chondrocalcinosis, left hip"
197,bacitracin zinc,Bitten by orca
198,Thyreoidea Melissa,"Contusion of ovary, unilateral, sequela"
199,Sodium Fluoride,"Military operations involving explosion of improvised explosive device [IED], military personnel, sequela"
200,dutasteride,"Rheumatoid arthritis without rheumatoid factor, right hip"
201,Ranitidine,Unspecified reduction defect of left lower limb
202,AZITHROMYCIN,"Poisoning by antipruritics, accidental (unintentional), subsequent encounter"
203,dextromethorphan polistirex,"Nondisplaced oblique fracture of shaft of left femur, subsequent encounter for open fracture type I or II with malunion"
204,ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY,"Motorcycle driver injured in collision with pedal cycle in traffic accident, subsequent encounter"
205,GENTAMICIN SULFATE,Other disorders of tooth development
206,CITRULLUS COLOCYNTHIS FRUIT PULP,Unspecified superficial injury of unspecified part of head
207,Ensulizole,Other injury due to other accident on board fishing boat
208,Titanium Dioxide,"Superficial foreign body of breast, right breast, sequela"
209,verapamil hydrochloride,"Other physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with malunion"
210,Loratadine,"Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity"
211,Treatment Set TS346698,"Poisoning by other synthetic narcotics, intentional self-harm"
212,mupirocin,Iridocyclitis
213,Loratadine,"Volume depletion, unspecified"
214,Isopropyl alcohol,"Other foreign object in larynx causing asphyxiation, sequela"
215,"Titanium Dioxide, Octinoxate/EthylhexylMethoxycinnamate","Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
216,Benzalkonim chloride,"Other specified joint disorders, elbow"
217,Cetylpyridinium Chloride,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional), initial encounter"
218,allopurinol,"Nondisplaced fracture of lateral cuneiform of left foot, sequela"
219,"neomycin sulfate, polymyxin B sulfate and dexamethasone",Malignant neoplasm of short bones of lower limb
220,tramadol hydrochloride,Rh incompatibility reaction due to transfusion of blood or blood products
221,sertraline hydrochloride,Keratoconjunctivitis due to Acanthamoeba
222,Irbesartan and Hydrochlorothiazide,Injury of other specified intrathoracic organs
223,Acetaminophen and Phenylephrine HCl,"Laceration with foreign body of larynx, subsequent encounter"
224,benazepril hydrochloride and hydrochlorothiazide,Contact with and (suspected) exposure to other environmental pollution
225,Meclizine HCl,"Poisoning by beta-adrenoreceptor antagonists, undetermined, initial encounter"
226,fentanyl citrate,"Familial chondrocalcinosis, ankle and foot"
227,"ARNICA MONTANA, CALENDULA OFFICINALIS FLOWERING TOP, HYPERICUM PERFORATUM, and SULFUR","Adhesions due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
228,Oxymetazoline Hydrochloride,"Corrosion of second degree of left elbow, sequela"
229,Ciprofloxacin,"Congenital malformation of urinary system, unspecified"
230,Simvastatin,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
231,Benzoyl Peroxide,"Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident, sequela"
232,trimethobenzamide hydrochloride,"Nondisplaced transverse fracture of shaft of right tibia, initial encounter for open fracture type I or II"
233,Loratadine,"Foreign body in nostril, initial encounter"
234,diphenhydramine hydrochloride,Urinary tract infection following an ectopic and molar pregnancy
235,Benzocain,Superficial frostbite
236,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride","Major depressive disorder, single episode"
237,Meropenem,"Strain of other flexor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
238,POLYVINYL ALCOHOL,"Partial traumatic amputation of unspecified great toe, initial encounter"
239,Diltiazem Hydrochloride,"Laceration without foreign body, unspecified ankle, subsequent encounter"
240,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",Unspecified early complication of trauma
241,BELLIS PERENNIS,"Unspecified dacryoadenitis, right lacrimal gland"
242,"OCTOCRYLENE, PHENYLBENZIMIDAZOLE SULFONIC ACID","Corrosion of unspecified degree of unspecified palm, sequela"
243,diazepam,"Displaced fracture of medial phalanx of unspecified finger, subsequent encounter for fracture with routine healing"
244,TITANIUM DIOXIDE,"Toxic effect of other pesticides, undetermined, initial encounter"
245,zinc oxide and Cocoa Butter,"Poisoning by thrombolytic drug, accidental (unintentional)"
246,Hydrochlorothiazide,Infection and inflammatory reaction due to ventricular intracranial (communicating) shunt
247,antifungal,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
248,dextromethorphan hydrobromide and quinidine sulfate,"Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with delayed healing"
249,cyclobenzaprine hydrochloride,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, subsequent encounter"
250,Acnida tamariscina,Disorders of galactose metabolism
251,Polyethylene Glycol 3350,"Poisoning by other antihypertensive drugs, assault, sequela"
252,Rhodotorula Rubra,"Struck by falling object in cave-in, sequela"
253,Hydrocortisone Butyrate,Subluxation complex (vertebral) of head region
254,donepezil hydrochloride,"Other synovitis and tenosynovitis, right upper arm"
255,Privet,"Minimally displaced Zone II fracture of sacrum, initial encounter for open fracture"
256,Corn Pollen,"Gout due to renal impairment, vertebrae"
257,levothyroxine sodium,"Poisoning by emollients, demulcents and protectants, accidental (unintentional)"
258,Hydroxyzine Pamoate,"Exposure to excessive natural heat, initial encounter"
259,Fluoride,"Sezary disease, intra-abdominal lymph nodes"
260,norethindrone and ethinyl estradiol,"Insect bite (nonvenomous) of breast, unspecified breast, subsequent encounter"
261,TITANIUM DIOXIDE,"Nondisplaced dome fracture of right talus, subsequent encounter for fracture with delayed healing"
262,"VITAMIN A ACETATE, ASCORBIC ACID, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL ACETATE, D-, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, LEVOMEFOLIC ACID, CYANOCOBALAMIN, MAGNESIUM OXIDE, CUPRIC SULFATE, and SODIUM FLUORIDE",Superficial foreign body of right hand
263,TOPICAL STARCH,"Other specified injury of other specified blood vessels at shoulder and upper arm level, unspecified arm, initial encounter"
264,Isopropyl Alcohol,Burn of first degree of unspecified thigh
265,fenofibrate,Athletic field as the place of occurrence of the external cause
266,"Loratadine, Pseudoephedrine","Cystoid macular edema following cataract surgery, bilateral"
267,Chromium Picolinate,Unspecified fracture of lower end of unspecified tibia
268,Bismuth Subsalicylate,Acquired absence of other specified parts of digestive tract
269,"dextromethorphan hbr, guaifenesin, phenylephrine hcl","Peripheral opacity of cornea, unspecified eye"
270,Metoprolol succinate,"Idiopathic chronic gout, right hand, without tophus (tophi)"
271,Nystatin,"Car passenger injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
272,Metoprolol tartrate,"Alcohol abuse with intoxication, unspecified"
273,repaglinide,"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate"
274,Octinoxate and Oxybenzone,Hypofunction and other disorders of the pituitary gland
275,SILYBUM MARIANUM SEED GENTIANA LUTEA ROOT ARTEMISIA VULGARIS ROOT GINGER CHELIDONIUM MAJUS BLACK PEPPER,"Displaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for open fracture"
276,Meperidine Hydrochloride,"Motorcycle driver injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
277,Marshelder Burweed,"Contusion of unspecified index finger without damage to nail, sequela"
278,Ibuprofen,"Other physeal fracture of upper end of humerus, unspecified arm, subsequent encounter for fracture with routine healing"
279,SODIUM FLUORIDE and TRICLOSAN,Sprain of interphalangeal joint of left great toe
280,"Neomycin sulfate, Polymyxin B Sulfate and Bacitracin Zinc","Anaphylactic reaction due to milk and dairy products, sequela"
281,Torsemide,"Pressure ulcer of unspecified elbow, unspecified stage"
282,"PHENYLEPHRINE HYDROCHLORIDE, DIPHENHYDRAMINE HYDROCHLORIDE, Acetaminphen","Person boarding or alighting a car injured in collision with pick-up truck, sequela"
283,Pyrithione Zinc,"Other secondary gout, hip"
284,Liothyronine Sodium,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
285,Isoniazid,"Laceration of flexor muscle, fascia and tendon of left little finger at wrist and hand level, sequela"
286,"Berberis vulgaris, Cimicifuga racemosa, Cinchona officinalis, Colocynthis, Ledum palustre, Ranunculus bulbosus, Aesculus hippocastanum, Cuprum aceticum,","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
287,Almond Food,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor"
288,NOT APPLICABLE,"Salter-Harris Type I physeal fracture of upper end of radius, right arm, subsequent encounter for fracture with nonunion"
289,Homeopathic Liquid,Paralytic ileus and intestinal obstruction without hernia
290,Benzonatate,Accidental puncture and laceration of eye and adnexa during a procedure
291,"Titanium Dioxide, Zinc Oxide","Other myositis, thigh"
